component,explained_variance_ratio,auc_train,auc_test,mutual_information,pearson_r
70,1.9862112203649715e-07,0.5270406669440464,0.5371962956037792,0.0,0.016236683584454403
71,1.867234390767549e-07,0.5478287334535312,0.5455773820653549,0.008585508804247244,0.009079241501069354
72,1.6616114355222638e-07,0.5428045287737396,0.5503222648731287,0.005712901639878698,-0.04545377766611841
73,1.6401747937149512e-07,0.509387981534438,0.5201503536114563,0.0,0.015152867936685374
74,1.6058068088492696e-07,0.5123819210084293,0.5160021557650216,0.020827559361652925,-0.008294000907471689
75,1.5269764957123704e-07,0.5321435726063344,0.5241539172230227,0.0,0.037260902826589205
76,1.4734084041298335e-07,0.5180362839047135,0.5444676030312696,0.0,0.005174060908012797
77,1.4180232663613586e-07,0.5288348292023572,0.5427182437114355,0.0,0.00829718108963967
78,1.2460240647978528e-07,0.5197600005283423,0.5200145184174925,0.0,-0.013187887771871512
79,1.2100428669337929e-07,0.5389905580835266,0.5239031445572433,0.0,-0.0558480640403899
80,1.1154305852865349e-07,0.5399938580212261,0.5337107755254678,0.0,0.007116508145466521
81,1.0499392041490949e-07,0.5079862234755674,0.5007303203950769,0.018649354394790763,0.008890895362401235
82,1.0305716367008153e-07,0.5154699714475036,0.5219217105335519,0.0010434848923779327,-0.0373022100727828
83,9.939102381376697e-08,0.5112646972708921,0.5237876571453711,0.009191425091011451,-0.0005358657003512278
84,9.54730440694683e-08,0.5424572538090175,0.53669640009239,0.0,0.02422517876431001
85,8.859484009233576e-08,0.5032179345780197,0.508726448817079,0.0,-0.001867468593169042
86,8.416548330896837e-08,0.5159108070207881,0.516033502348244,0.0,0.0008429200845527977
87,8.34915282616134e-08,0.5001298841389452,0.5143952309198296,0.005190030186432271,-0.0032305489184192753
88,7.834591089532475e-08,0.5346383387158201,0.5451093830772447,0.02034963741603657,0.03419449778584345
89,7.4374251872579e-08,0.5207952211442572,0.5164905025352237,0.0,-0.0023594012855378994
90,7.093914615270248e-08,0.5000572370781793,0.5072878056291864,0.016688421371619855,-0.01336016162063128
91,6.732013695154191e-08,0.5323576612929856,0.5624517427600392,0.0035694100452912103,0.018563913089864003
92,6.619535953581226e-08,0.5176257179400815,0.5045595530087221,0.01686852012340423,-0.013104543481023896
93,6.247480263838968e-08,0.584348741114494,0.5898151101529934,0.018185000025606968,0.06407927325309412
94,5.937666856660719e-08,0.5044232153589095,0.5217462796555176,0.0,0.006239572120793997
95,5.67501810738606e-08,0.5128398176338632,0.5087253489369659,0.0027232089617013067,0.0025556515613575285
96,5.5802639011253654e-08,0.5303923381566579,0.5508628559487017,0.009534248298108228,-0.010203225096845115
97,5.331541314630317e-08,0.5637362383351936,0.5565943312178974,0.007759022255405812,0.05443927736052351
98,4.991913909613769e-08,0.5246658785561287,0.528717869752197,0.0,0.03651958847188803
99,4.709493487933343e-08,0.5559448410680439,0.592847479624721,0.018388562405359465,-0.011603451939204831
100,4.503959488569562e-08,0.5500565766503541,0.5738811469549819,0.021477784457797577,0.03104053331035224
101,4.458937411011664e-08,0.5409057987764474,0.5345395351906641,0.00012422066936901288,0.0017870345020475791
