threshold,molecule,model,base_rate,clean,haze3e7,cloud1e2,absorbers,spots10,spots20,noise_x2,noise_x3,clean_coverage,haze3e7_coverage,cloud1e2_coverage,absorbers_coverage,spots10_coverage,spots20_coverage,noise_x2_coverage,noise_x3_coverage
1e-3,H2O,SVC,0.8270440251572327,0.860587002096436,0.8270440251572327,0.8364779874213837,0.860587002096436,0.8417190775681341,0.839622641509434,0.8364779874213837,0.8322851153039832,,,,,,,,
1e-3,CO2,KNN,0.8155136268343816,0.8218029350104822,0.8301886792452831,0.8291404612159329,0.8270440251572327,0.8375262054507338,0.8385744234800838,0.8155136268343816,0.8134171907756813,,,,,,,,
1e-3,CO2,MLP,0.8155136268343816,0.8249475890985325,0.8155136268343816,0.8144654088050315,0.8354297693920335,0.8333333333333334,0.8280922431865828,0.8071278825995807,0.8071278825995807,,,,,,,,
1e-3,CO2,RFC,0.8155136268343816,0.8312368972746331,0.8155136268343816,0.8218029350104822,0.8354297693920335,0.8280922431865828,0.8270440251572327,0.8228511530398323,0.8197064989517819,,,,,,,,
1e-3,CO2,SVC,0.8155136268343816,0.860587002096436,0.8155136268343816,0.8364779874213837,0.860587002096436,0.8427672955974843,0.8322851153039832,0.8301886792452831,0.8259958071278826,,,,,,,,
1e-3,NH3,KNN,0.8165618448637316,0.8616352201257862,0.8165618448637316,0.8490566037735849,0.8616352201257862,0.8448637316561844,0.8385744234800838,0.8291404612159329,0.8207547169811321,,,,,,,,
1e-3,NH3,MLP,0.8165618448637316,0.8857442348008385,0.8155136268343816,0.8155136268343816,0.8867924528301887,0.8553459119496856,0.8354297693920335,0.8511530398322851,0.8238993710691824,,,,,,,,
1e-3,NH3,RFC,0.8165618448637316,0.8784067085953878,0.8165618448637316,0.8186582809224319,0.8773584905660378,0.8438155136268344,0.8291404612159329,0.8354297693920335,0.8249475890985325,,,,,,,,
1e-3,NH3,SVC,0.8165618448637316,0.8888888888888888,0.8165618448637316,0.8207547169811321,0.8878406708595388,0.8469601677148847,0.8301886792452831,0.8354297693920335,0.8270440251572327,,,,,,,,
1e-4,CH4,vote+ensemble,0.6236897274633124,0.8853006681514477,0.6474428726877041,0.7639956092206367,0.8834628190899001,0.8026315789473685,0.7467672413793104,0.7842696629213484,0.7172717271727173,0.9412997903563941,0.9633123689727463,0.9549266247379455,0.9444444444444444,0.9559748427672956,0.9727463312368972,0.9329140461215933,0.9528301886792453
1e-4,CH4,vote+knn,0.6236897274633124,0.8543123543123543,0.5906432748538012,0.7487603305785124,0.8569767441860465,0.8356589147286821,0.818359375,0.8093385214007782,0.7920792079207921,0.89937106918239,0.1792452830188679,0.6341719077568134,0.9014675052410901,0.6761006289308176,0.5366876310272537,0.5387840670859538,0.31761006289308175
1e-4,H2O,vote+ensemble,0.6184486373165619,0.7861915367483296,0.6184486373165619,0.6892039258451472,0.7830923248053393,0.7292576419213974,0.6847237269772481,0.706858407079646,0.6729699666295884,0.9412997903563941,1.0,0.9612159329140462,0.9423480083857443,0.960167714884696,0.9675052410901468,0.9475890985324947,0.9423480083857443
1e-4,H2O,vote+knn,0.6184486373165619,0.7925407925407926,0.6783625730994152,0.6859504132231405,0.7895348837209303,0.7813953488372093,0.76171875,0.7470817120622568,0.7458745874587459,0.89937106918239,0.1792452830188679,0.6341719077568134,0.9014675052410901,0.6761006289308176,0.5366876310272537,0.5387840670859538,0.31761006289308175
1e-4,CO2,vote+ensemble,0.5953878406708595,0.8386363636363636,0.610752688172043,0.7531285551763367,0.8448471121177803,0.7544444444444445,0.7002212389380531,0.7152698048220436,0.6633444075304541,0.9224318658280922,0.9748427672955975,0.9213836477987422,0.9255765199161425,0.9433962264150944,0.9475890985324947,0.9129979035639413,0.9465408805031447
1e-4,CO2,vote+knn,0.5953878406708595,0.8216783216783217,0.45614035087719296,0.7338842975206612,0.8290697674418605,0.7689922480620155,0.75390625,0.7120622568093385,0.693069306930693,0.89937106918239,0.1792452830188679,0.6341719077568134,0.9014675052410901,0.6761006289308176,0.5366876310272537,0.5387840670859538,0.31761006289308175
1e-4,NH3,vote+ensemble,0.610062893081761,0.8759604829857299,0.610062893081761,0.7055616139585605,0.8756815703380589,0.7357065803667745,0.6934619506966774,0.7686318131256952,0.6946902654867256,0.9549266247379455,1.0,0.9612159329140462,0.9612159329140462,0.9716981132075472,0.9779874213836478,0.9423480083857443,0.9475890985324947
1e-4,NH3,vote+knn,0.610062893081761,0.8776223776223776,0.8187134502923976,0.7041322314049587,0.8802325581395349,0.786046511627907,0.76953125,0.8210116731517509,0.8118811881188119,0.89937106918239,0.1792452830188679,0.6341719077568134,0.9014675052410901,0.6761006289308176,0.5366876310272537,0.5387840670859538,0.31761006289308175
