case,score,accuracy_all,coverage,accuracy_accepted,accuracy_declined,auroc_error,auroc_shift
absorbers_quenched,mahalanobis,0.6721384205856256,0.3717834960070985,0.9847852028639618,0.487111581920904,0.9437172590736747,0.8716141234473034
absorbers_quenched,pca_recon,0.6721384205856256,0.364019520851819,0.9838513101767216,0.49372166027206144,0.9213027595046377,0.849801070895161
absorbers_quenched,knn,0.6721384205856256,0.4649511978704525,0.9484732824427481,0.4320066334991708,0.8992179579933637,0.8204260157826488
white_snr8,margin,0.9192546583850931,0.8381765749778172,0.9716818843456398,0.6477039067854695,0.9011616324674361,0.6098849752662919
white_snr8,ensemble,0.9192546583850931,0.601929902395741,0.9813893495485535,0.8252995263304541,0.843843309803131,0.7611655981400314
white_snr8,mahalanobis,0.9192546583850931,0.00022182786157941438,1.0,0.9192367428444641,0.43476302293266583,0.9980535318656609
white_snr8,pca_recon,0.9192546583850931,0.0033274179236912156,0.9666666666666667,0.9190963721344313,0.46342106554160123,0.9974597314524745
white_snr8,knn,0.9192546583850931,0.14518633540372672,0.9549274255156608,0.9131957960295835,0.41908432421825276,0.9540067632893983
white_snr5,margin,0.8756654835847383,0.7487799467613132,0.9527477410753963,0.645916114790287,0.8503715977828987,0.6984818508100358
white_snr5,ensemble,0.8756654835847383,0.35703194321206744,0.9804287045666356,0.8174918061066069,0.7814426524765559,0.8874318204095805
white_snr5,mahalanobis,0.8756654835847383,0.0,,0.8756654835847383,0.43897949164406386,0.9999998400752995
white_snr5,pca_recon,0.8756654835847383,0.00011091393078970719,1.0,0.8756516916250693,0.46201861067907907,0.999956734217548
white_snr5,knn,0.8756654835847383,0.0,,0.8756654835847383,0.4105935451869118,0.9991137342151859
correlated_snr8,margin,0.892413487133984,0.8619121561668146,0.9393900398919058,0.5991967871485944,0.8653236160120544,0.5763164484670453
correlated_snr8,ensemble,0.892413487133984,0.679569653948536,0.9729068059409173,0.7217030114226376,0.8581451755498667,0.7240822585737354
correlated_snr8,mahalanobis,0.892413487133984,0.21495119787045253,0.8864809081527347,0.8940378638033343,0.43198631067239657,0.9263341435200677
correlated_snr8,pca_recon,0.892413487133984,0.49012866015971607,0.8879837067209776,0.8966717424407222,0.48076626408460627,0.8030834614043141
correlated_snr8,knn,0.892413487133984,0.2532165039929015,0.885676741130092,0.8946977573147186,0.413411415289918,0.9191246026978361
correlated_snr5,margin,0.8367346938775511,0.8114463176574978,0.8924275560415528,0.5970588235294118,0.8000494472284339,0.6542838611274917
correlated_snr5,ensemble,0.8367346938775511,0.43300798580301686,0.9669569672131147,0.7372848200312989,0.7729425774586195,0.8498351102525807
correlated_snr5,mahalanobis,0.8367346938775511,0.019409937888198756,0.8228571428571428,0.8370093880782716,0.4476138537968556,0.9914551125318767
correlated_snr5,pca_recon,0.8367346938775511,0.22460070984915706,0.8419753086419753,0.835216707194965,0.4945078546440592,0.915706704299327
correlated_snr5,knn,0.8367346938775511,0.019520851818988466,0.7954545454545454,0.8375565610859729,0.4360571062808336,0.991760002822548
