case,axis,in_range,score,accuracy_all,coverage,accuracy_accepted,clean_selective_same_coverage,auroc_error,credit
tlse_spots20,spots,True,margin,0.915927240461402,0.8610248447204969,0.9662501610202241,0.9858302202756666,0.9064768728301205,-0.019580059255442483
tlse_spots20,spots,True,ensemble,0.915927240461402,0.8065661047027507,0.9639713971397139,0.9804730473047305,0.8605057796357701,-0.01650165016501659
tlse_spots20,spots,True,mahalanobis,0.915927240461402,0.8259760425909495,0.9097623203974755,0.9450785551228683,0.4264597342562517,-0.0353162347253928
tlse_spots20,spots,True,knn,0.915927240461402,0.6418589174800355,0.9369275963366166,0.9329531709002937,0.6095534768875275,0.00397442543632287
tlse_mixed,spots,False,margin,0.9313442768411713,0.8878660159716061,0.9695190505933792,0.9832604622111181,0.9128208147266995,-0.013741411617738897
tlse_mixed,spots,False,ensemble,0.9313442768411713,0.849600709849157,0.9643603133159269,0.9734986945169712,0.8682256894963833,-0.009138381201044377
tlse_mixed,spots,False,mahalanobis,0.9313442768411713,0.7797249334516415,0.9310099573257468,0.9429587482219062,0.522979493214651,-0.011948790896159411
tlse_mixed,spots,False,knn,0.9313442768411713,0.7213842058562555,0.9403444034440345,0.9365006150061501,0.5824049015120603,0.0038437884378843545
tlse_fac10,spots,False,margin,0.935226264418811,0.895075421472937,0.9676579925650558,0.9820322180916976,0.9123482420199631,-0.014374225526641804
tlse_fac10,spots,False,ensemble,0.935226264418811,0.8497116237799468,0.9688030283252839,0.9735021537658269,0.8746722368797277,-0.004699125440543073
tlse_fac10,spots,False,mahalanobis,0.935226264418811,0.910603371783496,0.9320341047503045,0.948599269183922,0.4341951567414416,-0.016565164433617552
tlse_fac10,spots,False,knn,0.935226264418811,0.8626885536823425,0.9323733607611211,0.9443301619953716,0.467708428101687,-0.01195680123425047
quenched,quench,True,margin,0.9820319432120674,0.9909050576752441,0.9846653234833221,0.9551152899037385,0.9186477061354706,0.029550033579583634
quenched,quench,True,ensemble,0.9820319432120674,0.9854702750665484,0.9843556555993247,0.9538548114800225,0.8889328112842909,0.030500844119302206
quenched,quench,True,mahalanobis,0.9820319432120674,0.80301685891748,0.9795580110497237,0.9439226519337016,0.3820014389813351,0.035635359116022114
quenched,quench,True,knn,0.9820319432120674,0.8293034605146407,0.9798047345191921,0.942624047077705,0.40452247292846644,0.03718068744148717
exotransmit,code,False,margin,0.8965173025732032,0.9323425022182786,0.9325481798715204,0.9745419938139425,0.9431904176378011,-0.041993813942422076
exotransmit,code,False,ensemble,0.8965173025732032,0.8178793256433008,0.9730132899376187,0.9789802007051803,0.9134207675749946,-0.005966910767561617
exotransmit,code,False,mahalanobis,0.8965173025732032,0.5421472937000887,0.8821603927986906,0.935556464811784,0.4841042936235379,-0.053396072013093376
exotransmit,code,False,knn,0.8965173025732032,0.6620452528837621,0.862456022784386,0.9338247612665438,0.35543243139671354,-0.07136873848215775
exomol,opacity,False,margin,0.8883096716947648,0.8040150842945873,0.955855980135191,0.9906193957787282,0.8807376954153985,-0.03476341564353713
exomol,opacity,False,ensemble,0.8883096716947648,0.5434782608695652,0.953265306122449,0.996938775510204,0.7561164742296494,-0.04367346938775507
exomol,opacity,False,mahalanobis,0.8883096716947648,0.033385093167701864,0.9700996677740864,0.9667774086378738,0.7881244077076646,0.0033222591362126463
exomol,opacity,False,knn,0.8883096716947648,0.18422803904170365,0.9024683925346177,0.975316074653823,0.5479825762055424,-0.07284768211920523
compound_spots10_haze3e7,compound,True,margin,0.9253549245785271,0.8737799467613132,0.9666158923584666,0.9851485148514851,0.9028420939585268,-0.01853262249301857
compound_spots10_haze3e7,compound,True,ensemble,0.9253549245785271,0.8454968944099379,0.9577594123048668,0.9742883379247016,0.8486248670709883,-0.016528925619834767
compound_spots10_haze3e7,compound,True,mahalanobis,0.9253549245785271,0.8065661047027507,0.9177667766776678,0.9438943894389439,0.4710582084366088,-0.026127612761276064
compound_spots10_haze3e7,compound,True,knn,0.9253549245785271,0.6028172138420586,0.9381784728610856,0.9298988040478381,0.5609979199759779,0.008279668813247487
compound_spots20_haze3e7,compound,True,margin,0.9069432120674357,0.8548136645962733,0.959647074088491,0.9861165174516673,0.89609289581245,-0.026469443363176248
compound_spots20_haze3e7,compound,True,ensemble,0.9069432120674357,0.8164374445430346,0.9495992392337997,0.9789430783860888,0.8293853963769129,-0.02934383915228911
compound_spots20_haze3e7,compound,True,mahalanobis,0.9069432120674357,0.8944099378881988,0.902405753968254,0.9479166666666666,0.43639190887315404,-0.045510912698412676
