case,score,accuracy_all,coverage,accuracy_accepted,accuracy_declined,auroc_error,auroc_shift
tlse_mixed,ensemble,0.8051242236024845,0.7580967169476486,0.8876371616678859,0.5465382851902797,0.8109506750907535,0.6309904225279479
tlse_mixed,mahalanobis,0.8051242236024845,0.4277950310559006,0.9092558983666061,0.7272727272727273,0.7317269798651614,0.816907450936086
tlse_mixed,pca_recon,0.8051242236024845,0.8962954747116237,0.8284865734438807,0.6032085561497327,0.6775555758192507,0.5502615224024489
tlse_mixed,knn,0.8051242236024845,0.3937444543034605,0.9115492957746478,0.7360043907793634,0.7358519398877047,0.8235176431882116
exotransmit,margin,0.8755545696539485,0.8960736468500443,0.9152122787473698,0.5336179295624333,0.8688038186000152,0.5115127885140013
exotransmit,ensemble,0.8755545696539485,0.8694543034605147,0.9110855976527619,0.6389124893797791,0.8099102321445425,0.5407822502674926
exotransmit,mahalanobis,0.8755545696539485,0.8403948535936113,0.8764682592054903,0.8707435719249479,0.4632796090083084,0.5554692918986969
exotransmit,pca_recon,0.8755545696539485,0.8967391304347826,0.8823747680890538,0.8163265306122449,0.5635187626424455,0.5270048603330844
exotransmit,knn,0.8755545696539485,0.8216503992901508,0.8747300215982722,0.8793532338308457,0.49788124015757806,0.5726918535440102
exomol,margin,0.675022182786158,0.9575199645075422,0.6856249276033823,0.43603133159268925,0.6749881112473208,0.43679121987805963
exomol,ensemble,0.675022182786158,0.8846495119787046,0.7043630892678034,0.44999999999999996,0.7087844423333809,0.5023578928793847
exomol,mahalanobis,0.675022182786158,0.9143744454303461,0.6721251819505094,0.705958549222798,0.44655472920001027,0.5128445368541306
exomol,pca_recon,0.675022182786158,0.9051685891748004,0.6770003676020095,0.656140350877193,0.5201369954430187,0.4945825138627651
exomol,knn,0.675022182786158,0.8758873114463177,0.6820311510700265,0.6255585344057194,0.5614931151784603,0.5618833426565334
quenched,margin,0.8097826086956521,0.948092280390417,0.8275620028076743,0.4850427350427351,0.7107791456340299,0.4720760278089864
quenched,ensemble,0.8097826086956521,0.9036157941437445,0.8383454032159077,0.5420023014959724,0.746910902815741,0.5136200670857054
quenched,mahalanobis,0.8097826086956521,0.9061668145519077,0.8037943696450428,0.8676122931442081,0.44051172350287093,0.4673922392922294
quenched,pca_recon,0.8097826086956521,0.9120452528837621,0.821111516478171,0.6923076923076923,0.5781461703197334,0.4882562310107871
quenched,knn,0.8097826086956521,0.9020629991126885,0.8048690520103283,0.855039637599094,0.5364631148015588,0.5045665637112451
compound_spots20_haze3e7,margin,0.5,0.9990017746228926,0.5000555123792606,0.4444444444444444,0.6037833804676532,0.36499663001750215
compound_spots20_haze3e7,ensemble,0.5,0.5354924578527063,0.6555509527754764,0.3206781279847183,0.7120440620598381,0.848440087089579
compound_spots20_haze3e7,mahalanobis,0.5,0.0,,0.5,0.6154293678043727,0.9999762327291165
compound_spots20_haze3e7,pca_recon,0.5,1.0,0.5,,0.5280448875665384,0.5512472552000623
compound_spots20_haze3e7,knn,0.5,0.0,,0.5,0.5312197619296938,0.9999793697136274
absorbers,margin,0.6942102928127774,0.8543700088731144,0.7262105673114372,0.5064737242955064,0.7435765910219498,0.5577284558792847
absorbers,ensemble,0.6942102928127774,0.8169920141969832,0.7478957371707846,0.4545454545454546,0.7709063185501813,0.5796198715347023
absorbers,mahalanobis,0.6942102928127774,0.9569653948535937,0.6901947148817802,0.7835051546391752,0.44743832935704975,0.44103025165160387
absorbers,pca_recon,0.6942102928127774,0.9138198757763976,0.6932880203908242,0.7039897039897041,0.47329979034035746,0.4721936155205495
absorbers,knn,0.6942102928127774,0.9383318544809228,0.6960992907801418,0.6654676258992807,0.6169398547049811,0.49387484706277873
absorbers_quenched,margin,0.6240017746228926,0.9047249334516415,0.6416574721098443,0.45634458672875433,0.7154246455825093,0.5218820354566347
