axis,case,n,accuracy,precision,recall,f1,brier,ece,auc,pos_rate,flips_bad,flips_good,amp_ratio,control_accuracy,control_brier,d_acc,d_brier
quenched,quenched_kzz10,9016,0.9826974267968057,0.9728378965667102,0.9931233362910381,0.9828759604829858,0.013602106401459558,0.006054484321454072,0.9953986219116325,0.5104259094942325,68,230,0.9797689728367536,,,1.7968056787932563,-0.012749745527275218
quenched,quenched_kzz11,9016,0.9826974267968057,0.9803532008830023,0.9851375332741792,0.9827395441469352,0.014192567310847247,0.009257775717643198,0.9961110249431356,0.5024401064773736,91,253,0.955733390506611,,,1.7968056787932563,-0.012159284617887529
quenched,quenched_kzz7,9016,0.9792590949423248,0.9607592237150778,0.9993345164152617,0.9796672828096118,0.01703961251173682,0.016227371962439025,0.9954968894891779,0.520075421472937,58,189,1.0097792536973202,,,1.4529724933451615,-0.009312239416997957
quenched,quenched_kzz8,9016,0.9811446317657497,0.9644539614561027,0.9991126885536823,0.9814774460666812,0.015790931542210743,0.014020026548017988,0.9953183889195507,0.5179680567879326,52,200,1.005440741556292,,,1.6415261756876576,-0.010560920386524033
tlse,tlse_fac05,9016,0.9459849157054127,0.9622901816509543,0.9283496007098492,0.9450152421813255,0.04114510636348134,0.02594108161424612,0.9904865224319734,0.4823646850044366,253,84,1.018089117043814,,,-1.87444543034605,0.014793254434746567
tlse,tlse_fac10,9016,0.9300133096716947,0.9627596084984483,0.8946317657497782,0.927446245831896,0.05637514615121922,0.04550162453431588,0.9863440052152183,0.4646184560780834,415,102,1.0344534303719415,,,-3.4716060337178445,0.030023294222484443
tlse,tlse_mixed,9016,0.8917480035492458,0.8779965753424658,0.9099378881987578,0.893681917211329,0.09179604689024687,0.07889726916433347,0.9642839920197082,0.518189884649512,778,120,0.9627594424917104,,,-7.298136645962739,0.06544419496151209
tlse,tlse_spots02,9016,0.9396628216503993,0.9136060100166945,0.9711623779946761,0.941505376344086,0.049076112165350794,0.03109985043167393,0.9857627650419759,0.5314995563442768,308,82,0.9771072230018066,,,-2.5066548358473884,0.022724260236616018
tlse,tlse_spots05,9016,0.9149290150842946,0.8927146756246064,0.9432120674356699,0.9172689030309568,0.0718273097546639,0.05198408000736371,0.9751574938451134,0.5282830523513753,552,103,0.9577104243433288,,,-4.980035492457857,0.04547545782592913
tlse,tlse_spots10,9016,0.8878660159716061,0.8754563023405626,0.9043921916592724,0.8896890343698854,0.0958992342120289,0.08329972329585641,0.9622598373865962,0.5165261756876663,816,123,0.965740450611024,,,-7.686335403726707,0.06954738228329412
tlse,tlse_spots20,9016,0.8548136645962733,0.8539499889356053,0.8560337178349601,0.8549905838041432,0.12363578640055496,0.11471012729424036,0.942829872005127,0.5012200532386868,1126,135,1.0807472235313478,,,-10.991570541259987,0.09728393447182018
white noise,snr12,9016,0.9466503992901508,0.9366731728475385,0.9580745341614907,0.9472529882662573,0.03966909043362925,0.01886887121127485,0.9891509789556808,0.5114241348713399,261,98,1.0,,,-1.8078970718722331,0.013317238504894472
white noise,snr10,9016,0.9364463176574978,0.9308079702211517,0.9429902395740906,0.9368595041322314,0.04868857405580069,0.027315195758892262,0.9845379632698725,0.5065439219165927,345,90,1.0,,,-2.8283052351375404,0.022336722127065913
